image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.848441,car,car,True
drive_022,2,4,0.802708,car,car,True
drive_022,3,1,0.686753,car,car,True
drive_022,4,2,0.88287,bus,bus,True
drive_022,5,5,0.847271,truck,truck,True
drive_033,3,25,0.756491,car,car,True
drive_033,4,4,0.683519,car,car,True
drive_033,5,14,0.65796,car,car,True
drive_033,6,13,0.695665,car,car,True
drive_033,7,1,0.688417,car,car,True
drive_033,8,17,0.645029,car,car,True
drive_033,9,18,0.75345,car,car,True
drive_033,10,19,0.572243,car,car,True
drive_033,11,23,0.659412,car,car,True
drive_033,12,22,0.727128,car,car,True
drive_033,13,24,0.761913,car,car,True
drive_033,14,8,0.723942,car,car,True
drive_033,15,9,0.654924,car,car,True
drive_033,16,11,0.687106,car,car,True
drive_033,17,10,0.923056,car,car,True
drive_033,18,5,0.850885,car,car,True
drive_033,19,6,0.871668,car,car,True
drive_033,20,30,0.866539,car,car,True
drive_033,21,7,0.865325,car,car,True
drive_033,22,2,0.881997,truck,truck,True
drive_033,23,3,0.981996,bus,truck,False
drive_033,24,16,0.9619,car,car,True
drive_033,25,27,0.930083,bus,bus,True
drive_033,26,28,0.760113,car,car,True
drive_033,27,29,0.683376,car,car,True
drive_033,28,15,0.826913,car,car,True
drive_033,29,26,0.767136,car,car,True
drive_038,1,45,0.772865,bus,bus,True
drive_038,2,36,0.919602,bus,bus,True
drive_038,3,53,0.805715,car,car,True
drive_038,4,54,0.798615,car,car,True
drive_038,5,35,0.829878,van,van,True
drive_038,6,1,0.292637,car,car,True
drive_038,7,34,0.839701,car,van,False
drive_038,9,46,0.804006,bus,bus,True
drive_038,10,2,0.384279,car,car,True
drive_038,11,3,0.266052,car,car,True
drive_038,12,4,0.536282,car,car,True
drive_038,13,5,0.582059,car,car,True
drive_038,14,6,0.374712,car,car,True
drive_038,15,37,0.656761,bus,bus,True
drive_038,17,7,0.53336,car,car,True
drive_038,18,8,0.34111,bus,car,False
drive_038,19,51,0.892313,car,car,True
drive_038,20,41,0.72538,car,car,True
drive_038,21,38,0.878807,car,car,True
drive_038,22,10,0.92065,car,car,True
drive_038,23,50,0.824958,car,car,True
drive_038,24,49,0.749617,car,car,True
drive_038,25,9,0.817399,car,car,True
drive_038,26,40,0.903092,car,car,True
drive_038,27,48,0.889443,truck,truck,True
drive_038,28,39,0.89937,van,van,True
drive_038,29,43,0.901281,car,car,True
drive_038,30,44,0.828345,car,car,True
drive_038,31,42,0.829989,car,car,True
drive_038,32,47,0.888676,bus,bus,True
drive_038,33,27,0.710302,car,car,True
drive_038,34,29,0.756238,car,car,True
drive_038,35,30,0.592272,car,car,True
drive_038,36,31,0.539646,car,car,True
drive_038,37,28,0.536581,car,car,True
drive_038,38,33,0.691743,car,car,True
drive_038,39,15,0.800895,car,car,True
drive_038,40,14,0.492013,car,car,True
drive_038,41,13,0.406532,car,car,True
drive_038,44,12,0.523419,car,car,True
drive_038,45,52,0.903677,truck,truck,True
drive_038,50,24,0.364435,car,car,True
drive_038,51,11,0.738955,car,car,True
drive_038,53,19,0.551868,car,car,True
drive_038,55,18,0.562748,car,car,True
drive_038,56,22,0.365041,car,car,True
drive_038,57,21,0.37973,bus,car,False
drive_008,1,4,0.939748,car,car,True
drive_008,2,3,0.847058,car,car,True
drive_008,3,30,0.868613,car,car,True
drive_008,4,22,0.964182,car,car,True
drive_008,5,1,0.952403,car,car,True
drive_008,6,14,0.677992,car,car,True
drive_008,7,13,0.944962,car,car,True
drive_008,8,12,0.718034,car,car,True
drive_008,9,10,0.809719,car,car,True
drive_008,10,7,0.649979,car,car,True
drive_008,12,9,0.860889,car,car,True
drive_008,13,15,0.84645,car,car,True
drive_008,14,8,0.784525,car,car,True
drive_008,15,17,0.689547,car,car,True
drive_008,16,18,0.646412,car,car,True
drive_008,17,27,0.717913,car,car,True
drive_008,18,20,0.961571,bus,bus,True
drive_008,19,11,0.983731,bus,bus,True
drive_008,20,5,0.951444,truck,truck,True
drive_008,21,2,0.905114,van,van,True
drive_008,22,16,0.831731,van,van,True
drive_008,23,21,0.931215,van,van,True
drive_008,24,23,0.793456,car,car,True
drive_008,25,29,0.848481,car,car,True
drive_008,26,6,0.811931,car,car,True
drive_008,27,25,0.83127,bus,bus,True
drive_008,28,24,0.738963,car,van,False
drive_008,29,26,0.631237,car,car,True
drive_008,31,28,0.518999,car,car,True
